,grade_id,usa_boulders,fra_boulders
0,86,,9C+/10A
1,85,,9C+
2,84,,9C/+
3,83,,9C
4,82,,9B+/9C
5,81,V20,9B+
6,80,V19/20,9B/+
7,79,V19,9B
8,78,V18/19,9A+/9B
9,77,V18,9A+
10,76,V17/18,9A/+
11,75,V17,9A
12,73,V16/17,8C+/9A
13,72,V16,8C+
14,71,V15/16,8C/+
15,70,V15,8C
16,69,,8B+/8C
17,68,V14,8B+
18,67,,8B/+
19,66,V13,8B
20,65,,8A+/8B
21,64,V12,8A+
22,63,,8A/+
23,62,V11,8A
24,60,,7C+/8A
25,59,V10,7C+
26,58,,7C/+
27,57,V9,7C
28,56,,7B+/7C
29,55,V8/9,7B+
30,54,,7B/+
31,53,V8,7B
32,52,,7A+/7B
33,51,V7,7A+
34,50,,7A/+
35,49,V6,7A
36,47,,6C+/7A
37,46,V5/V6,6C+
38,45,V5,6C/+
39,44,V5,6C
40,43,V4/V5,6B+/6C
41,42,V4/V5,6B+
42,41,,6B/+
43,40,V4,6B
44,39,,6A+/6B
45,38,V3/4,6A+
46,37,,6A/+
47,36,V3,6A
48,35,,6
49,34,V2,5C+
50,33,V2,5C
51,32,V1,5B+
52,31,V1,5B
53,30,V1,5A+
54,29,V1,5A
55,28,,5
56,27,,4+
57,26,,4C+
58,25,V0,4C
59,24,,4B+
60,23,V0,4B
61,22,,4A+
62,21,V0,4A
63,20,,4
64,19,,3+
65,18,,3C+
66,17,V0-,3C
67,16,,3B+
68,15,VB,3B
69,14,,3A+
70,13,VB,3A
71,12,VB,3
72,11,VB,2+
73,10,,2C
74,9,,2B
75,8,,2A
76,7,VB,2
77,6,,1+
78,5,,1C
79,4,,1B
80,3,,1A
81,2,,1
82,1,VB,-
