,height,weight,max_grade,years_climbing,age,sex
0,177.0,73.0,51.0,21.0,41.0,0.0
1,180.0,78.0,55.0,22.0,44.0,0.0
2,165.0,58.0,42.0,16.0,33.0,1.0
3,177.0,68.0,57.0,26.0,48.0,0.0
4,185.0,73.0,64.0,25.0,47.0,0.0
5,167.0,63.0,51.0,25.0,52.0,0.0
6,175.0,73.0,62.0,19.0,37.0,0.0
7,179.0,74.66666666666667,62.0,19.0,33.0,0.0
8,177.0,68.0,57.0,21.0,44.0,0.0
9,174.0,71.33333333333333,59.0,20.0,44.0,0.0
10,180.0,68.0,36.0,21.0,36.0,0.0
11,180.0,68.0,59.0,29.0,45.0,0.0
12,174.0,68.0,51.0,21.0,41.0,0.0
13,176.0,64.66666666666667,57.0,25.0,46.0,0.0
14,178.0,73.0,62.0,24.0,35.0,0.0
15,183.66666666666666,68.0,68.0,24.0,38.0,0.0
16,188.0,83.0,53.0,17.0,42.0,0.0
17,181.0,68.0,57.0,20.0,36.0,0.0
18,182.0,68.0,55.0,21.0,35.0,0.0
19,183.0,73.0,59.0,18.0,40.0,0.0
20,176.33333333333334,63.0,62.0,18.0,35.0,0.0
21,180.33333333333334,73.0,57.0,21.0,37.0,0.0
22,175.66666666666666,68.0,49.0,25.0,39.666666666666664,0.0
23,173.66666666666666,68.0,57.0,25.0,43.0,0.0
24,183.0,73.0,57.0,23.0,47.0,0.0
25,180.0,83.0,53.0,17.0,38.0,0.0
26,188.0,83.0,62.0,26.0,43.0,0.0
27,183.0,73.0,51.0,22.0,41.0,0.0
28,179.66666666666666,78.0,64.0,21.0,32.0,0.0
29,186.0,83.0,49.0,27.0,45.0,0.0
30,172.0,63.0,62.0,28.0,46.0,0.0
31,180.33333333333334,73.0,57.0,19.0,43.0,0.0
32,183.0,78.0,51.0,24.0,42.0,0.0
33,179.33333333333334,68.0,68.0,19.0,33.0,0.0
34,174.0,100.0,53.0,37.0,44.0,0.0
35,175.0,73.0,53.0,21.0,41.0,0.0
36,187.0,78.0,51.0,20.0,44.0,0.0
37,178.66666666666666,74.66666666666667,53.0,19.0,37.0,0.0
38,178.0,63.0,70.0,20.0,36.0,0.0
39,174.0,66.33333333333333,57.0,19.0,35.0,0.0
40,180.0,73.0,55.0,17.0,40.0,0.0
