,height,weight,max_grade,years_climbing,age,sex
0,177,73,51,21,41.0,0
1,0,0,46,17,,0
2,180,78,55,22,44.0,0
3,165,58,42,16,33.0,1
4,0,0,57,26,48.0,0
5,185,73,64,25,47.0,0
6,167,63,51,25,52.0,0
7,175,73,62,19,37.0,0
8,0,0,55,17,,0
9,0,0,13,2017,,0
10,179,0,62,19,33.0,0
11,177,68,57,21,44.0,0
12,174,0,59,20,44.0,0
13,180,68,36,21,36.0,0
14,0,0,57,2017,,0
15,0,0,62,2017,,0
16,180,68,59,29,45.0,0
17,0,0,29,2017,,0
18,174,0,51,21,41.0,0
19,0,0,57,25,46.0,0
20,0,0,36,17,,1
21,178,73,62,24,35.0,0
22,0,0,59,2017,,0
23,0,0,59,19,,0
24,0,68,68,24,38.0,0
25,0,0,49,2017,,0
26,188,83,53,17,42.0,0
27,0,0,49,27,,0
28,181,68,57,20,36.0,0
29,182,68,55,21,35.0,0
30,183,73,59,18,40.0,0
31,0,0,59,2017,,0
32,0,0,49,2017,,0
33,0,63,62,18,35.0,0
34,0,73,57,21,37.0,0
35,0,68,49,25,,0
36,0,68,57,25,43.0,0
37,0,0,59,2017,,0
38,0,0,55,2017,,0
39,183,73,57,23,47.0,0
40,0,0,62,2017,,0
41,0,0,59,2017,,0
42,0,0,55,2017,,0
43,180,83,53,17,,0
44,188,83,62,26,43.0,0
45,183,73,51,22,41.0,0
46,0,0,57,2017,49.0,0
47,0,78,64,21,,0
48,186,83,49,27,45.0,0
49,0,0,59,17,,0
50,172,63,62,28,46.0,0
51,71,73,57,19,43.0,0
52,183,78,51,24,42.0,0
53,0,0,64,17,,0
54,0,0,68,19,33.0,0
55,0,0,57,2017,,0
56,0,0,51,2017,,0
57,10,100,53,37,,0
58,175,73,53,21,41.0,0
59,187,78,51,20,44.0,0
60,0,0,53,19,37.0,0
61,178,63,70,20,36.0,0
62,0,0,55,2017,,0
63,0,0,57,19,35.0,0
64,0,0,40,2017,,0
65,0,0,55,2017,,0
66,0,0,62,2017,,0
67,180,73,55,17,40.0,0
68,0,0,64,17,,0
69,0,0,1,17,,0
70,0,0,62,2017,,0
71,0,0,51,2017,,0
72,184,78,55,17,42.0,0
73,182,83,59,31,46.0,0
74,0,0,70,2017,,0
75,0,0,59,2017,,0
76,194,78,55,24,48.0,0
77,174,0,66,17,45.0,1
78,180,73,66,27,48.0,0
79,179,68,64,23,42.0,0
80,0,0,59,2017,,0
81,187,73,59,22,39.0,0
82,190,83,62,18,33.0,0
83,180,58,55,18,32.0,0
84,173,73,64,26,45.0,0
85,172,58,51,17,42.0,0
86,165,63,55,19,42.0,0
87,178,68,53,18,38.0,0
88,169,58,66,43,46.0,0
89,0,0,59,2017,,0
90,0,0,72,17,,0
91,194,0,57,30,,0
92,0,0,59,2017,,0
93,170,68,59,27,47.0,0
94,0,0,46,2017,,0
95,0,0,49,23,40.0,0
96,180,100,49,17,,0
97,177,78,59,20,35.0,0
98,0,0,59,2017,,0
99,0,0,49,2017,,0
100,0,0,46,17,,0
101,195,83,62,25,46.0,0
102,165,63,59,21,39.0,0
103,0,0,55,2017,,0
104,185,68,62,29,44.0,0
105,193,83,66,23,37.0,0
106,0,0,62,17,,0
107,174,73,62,22,32.0,0
108,189,78,62,20,,0
109,178,68,55,20,44.0,0
110,172,68,44,17,,0
111,191,88,42,17,36.0,0
112,167,53,49,21,39.0,0
113,0,0,53,2017,,0
114,0,0,64,28,43.0,0
115,178,63,70,29,40.0,0
116,0,0,44,2017,,0
117,0,0,36,2017,,0
118,0,0,59,17,,0
119,184,68,59,27,44.0,0
120,180,73,64,22,38.0,0
121,182,83,55,25,,0
122,173,63,53,26,51.0,0
123,176,63,49,20,38.0,0
124,168,98,59,22,45.0,0
125,182,78,62,22,43.0,0
126,160,0,51,19,46.0,1
127,0,0,59,17,37.0,0
128,0,0,44,18,,0
129,165,53,64,35,51.0,0
130,0,0,64,2017,,0
131,0,0,68,2017,,0
132,0,73,64,24,42.0,0
133,0,0,49,2017,,0
134,0,0,44,2017,,0
135,186,63,49,17,31.0,0
136,0,0,51,2017,,0
137,0,0,51,2017,,0
138,175,0,62,29,,0
139,0,0,59,17,,0
140,0,0,57,2017,,0
141,175,68,66,32,39.0,0
142,0,0,62,17,,0
143,197,78,59,21,36.0,0
144,0,0,38,2017,,0
145,187,88,72,33,46.0,0
146,0,0,51,17,,0
147,186,68,64,31,48.0,0
148,0,0,42,2017,,0
149,173,53,62,24,41.0,0
150,0,0,64,17,,0
151,0,0,57,2017,,0
152,0,0,62,17,,0
153,0,0,55,2017,,0
154,178,73,62,40,56.0,0
155,175,63,51,26,29.0,0
156,180,73,55,27,45.0,0
157,0,0,64,25,36.0,0
158,0,0,55,2017,,0
159,0,0,64,17,,0
160,0,0,57,17,33.0,0
161,165,43,53,19,41.0,0
162,0,0,64,20,39.0,0
163,0,0,49,17,,0
164,0,100,57,17,74.0,0
165,0,0,59,17,,0
166,0,0,59,43,57.0,0
167,0,73,55,17,,0
168,0,0,46,2017,,0
169,0,0,62,17,,0
170,0,0,40,2017,,0
171,173,63,57,24,44.0,0
172,4,73,57,21,34.0,0
173,0,0,42,2017,,0
174,179,73,57,21,37.0,0
175,165,58,64,27,41.0,0
176,173,68,49,17,33.0,0
177,0,0,49,2017,,0
178,0,73,57,24,39.0,0
179,0,73,57,21,38.0,0
180,167,73,57,20,34.0,0
181,170,68,21,26,47.0,0
182,0,73,44,24,,0
183,0,0,57,2017,,0
184,185,83,62,21,42.0,0
185,0,0,57,17,,0
186,0,0,59,2017,,0
187,182,78,62,23,39.0,0
188,183,78,55,20,40.0,0
189,0,0,49,19,38.0,1
190,0,0,66,24,39.0,0
191,0,0,42,2017,,0
192,0,0,64,17,,0
193,135,68,57,28,46.0,0
194,178,63,59,19,35.0,0
195,170,68,51,19,39.0,0
196,174,63,44,21,43.0,0
197,178,63,44,22,38.0,0
198,164,0,49,20,35.0,1
199,182,73,49,17,35.0,0
200,0,0,51,2017,,0
201,172,63,62,16,32.0,0
202,0,0,49,2017,,0
203,0,0,57,17,,0
204,0,0,68,2017,,0
205,180,73,44,28,49.0,0
206,0,0,57,2017,,0
207,0,0,59,2017,,0
208,0,0,59,2017,,0
209,0,0,57,2017,,0
210,0,0,59,2017,,0
